expression,reading,meaning,tags,guid
特集,とくしゅう,"feature (e.g., newspaper, special edition, report)",JLPT_1 JLPT,wi!>SN]gEF
独占,どくせん,monopoly,JLPT_1 JLPT,j~8Pw]-mt@
独創,どくそう,originality,JLPT_1 JLPT,gXnxl+EiHr
得点,とくてん,"score, points made",JLPT_1 JLPT,"u`t,J1?=>5"
特派,とくは,"send specially, special envoy",JLPT_1 JLPT,HzEPo`9b]p
特有,とくゆう,"characteristic (of, peculiar (to))",JLPT_1 JLPT,s!rvO*5;{%
とげ (をさす),とげ (をさす),thorn,JLPT_1 JLPT,hJ#iZ92?#q
遂げる,とげる,"to accomplish, to achieve, to carry out",JLPT_1 JLPT,xrXbhn4rr4
～どころか,～どころか,"rather, far from",JLPT_1 JLPT,EHH{[82H7I
年頃,としごろ,"age, marriageable age, adolescence",JLPT_1 JLPT,etGaTJBp9c
戸締り,とじまり,"closing up, locking the doors",JLPT_1 JLPT,br8:Ms=|$#
途上,とじょう,"en/in route, half way",JLPT_1 JLPT,u0JdXEY0c~
土台,どだい,"foundation, base, basis",JLPT_1 JLPT,cvkea1V_|{
途絶える,とだえる,"to stop, to cease, to come to an end",JLPT_1 JLPT,G6Wu+!]SF@
特許,とっきょ,"special permission, patent",JLPT_1 JLPT,y;*Z>uq]4W
特権,とっけん,"privilege, special right",JLPT_1 JLPT,k%B0csu$EA
とっさに,とっさに,at once,JLPT_1 JLPT,q}5LIfDsGB
突如,とつじょ,"suddenly, all of a sudden",JLPT_1 JLPT,vs{$6V?ZhH
とって,とって,"handle, grip, knob",JLPT_1 JLPT,G05L%<Kvt?
突破,とっぱ,"breaking through, breakthrough, penetration",JLPT_1 JLPT,BUU#!_nB`?
土手,どて,"embankment, bank",JLPT_1 JLPT,P7Y3[uoFO/
届,とどけ,"report, notification, registration",JLPT_1 JLPT,k&rtuoJHn+
滞る,とどこおる,"to stagnate, to be delayed",JLPT_1 JLPT,K*Hz>u1V/7
整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money",JLPT_1 JLPT,yz)tg)bvJH
止める,とどめる,"to end, to stop, to cease, to resign",JLPT_1 JLPT,IgE:xC]C-g
唱える,となえる,"to recite, to chant, to call upon",JLPT_1 JLPT,Gg`8L(I3?q
殿様,とのさま,feudal lord,JLPT_1 JLPT,xjLi|(N)Y!
土俵,どひょう,arena,JLPT_1 JLPT,kt7if2NoDZ
扉,とびら,"door, opening",JLPT_1 JLPT,I24=_qRNG{
溝,どぶ,"ditch, drain, gap",JLPT_1 JLPT,Hzol[}&YZl
徒歩,とほ,"walking, going on foot",JLPT_1 JLPT,Fjm7hAD%fu
土木,どぼく,public works,JLPT_1 JLPT,jgd#[Gmw^^
とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage",JLPT_1 JLPT,HA39$4<O7S
乏しい,とぼしい,"meager, scarce, hard up, poor",JLPT_1 JLPT,"wt#tsoF,$N"
富,とみ,"wealth, fortune",JLPT_1 JLPT,kl&?2R4Ul?
富む,とむ,"to be rich, to become rich",JLPT_1 JLPT,Q?~wK|+t|p
共稼ぎ,ともかせぎ,"working together, (husband and wife) earning a living together",JLPT_1 JLPT,"K<|&apg,,5"
伴う,ともなう,"to accompany, to bring with",JLPT_1 JLPT,ntk-`u.Caj
共働き,ともばたらき,dual income (husband and wife both working),JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,KsJK.WMk9k
ドライ,ドライ,dry,JLPT_1 JLPT,uyF82nwuCT
ドライクリーニング,ドライクリーニング,dry cleaning,JLPT_1 JLPT,hI<4F;7$M(
ドライバー,ドライバー,"driver, screwdriver",JLPT_1 JLPT,JR*AC1{b!P
ドライブイン,ドライブイン,drive in,JLPT_1 JLPT,lGQ5H]umJ
トラブル,トラブル,trouble (sometimes used as a verb),JLPT_1 JLPT,fF~?5;]hHp
トランジスター,トランジスター,transistor,JLPT_1 JLPT,G8*[Jm%i5[
とりあえず,とりあえず,"at once, first of all, for the time being",JLPT_1 JLPT,"A3E,EB~Q2G"
取扱,とりあつかい,"treatment, handling, management",JLPT_1 JLPT,rBTr^DU*Cx
取り扱う,とりあつかう,"to treat, to handle, to deal in",JLPT_1 JLPT,f<xt2FJB#W
鳥居,とりい,Shinto shrine archway,JLPT_1 JLPT,bwgFGu0jgU
取り替え,とりかえ,"swap, exchange",JLPT_1 JLPT,"LmK#s,9;im"
取り組む,とりくむ,"to tackle, to engage in a bout, to come to grips with",JLPT_1 JLPT,FUhxb`Icnx
取締り,とりしまり,"control, crackdown, supervision",JLPT_1 JLPT,Nn_#J1j`cb
取り締まる,とりしまる,"to crack down, to control, to supervise",JLPT_1 JLPT,u>YtS}dO87
取り調べる,とりしらべる,"to investigate, to examine",JLPT_1 JLPT,"lTv.J/i,RR"
取り立てる,とりたてる,"to collect, to extort",JLPT_1 JLPT,u]pjW8@;4G
取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)",JLPT_1 JLPT,h81vV]thLx
取り付ける,とりつける,"to furnish, to install; to get someone's agreement",JLPT_1 JLPT,OLVn)Sl<l<
取り除く,とりのぞく,"to remove, to take away, to set apart",JLPT_1 JLPT,hNl.|rVPKI
取引,とりひき,"transactions, dealings, business",JLPT_1 JLPT,QK;D?PC(Iv
取り巻く,とりまく,"to surround, to circle, to enclose",JLPT_1 JLPT,E%Fl$NJpIJ
取り混ぜる,とりまぜる,"to mix, to put together",JLPT_1 JLPT,Bo(wYaa}Ah
取り戻す,とりもどす,"to take back, to regain",JLPT_1 JLPT,pPlunQ{V=M
取り寄せる,とりよせる,"to order, to send away for",JLPT_1 JLPT,M^8;v4K?HH
ドリル,ドリル,drill,JLPT_1 JLPT,tLuvrWP-bR
副,とりわけ,"especially, above all",JLPT_1 JLPT,I|~T6euZ&R
とろける,とろける,melt; to be enchanted with,JLPT_1 JLPT,zCt%1bEngS
鈍感,どんかん,"thickheadedness, stolidity",JLPT_1 JLPT,AGgv#X94Iv
とんだ,とんだ,"terrible, awful, serious, absolutely not",JLPT_1 JLPT,H?67/UOJ%d
度忘れ,どわすれ,"lapse of memory, forget for a moment",JLPT_1 JLPT,O3@@XzGoQO
問屋,とんや,wholesale store,JLPT_1 JLPT,L]HWWc9|Rk
内閣,ないかく,"cabinet, (government)",JLPT_1 JLPT,y)df|:D=Sq
乃至,ないし,"from...to, between...and, or",JLPT_1 JLPT,iAOF?Qa_8q
内緒,ないしょ,"secrecy, privacy, secret",JLPT_1 JLPT,u~2eY8N1H4
内心,ないしん,"innermost thoughts, real intention, inmost heart",JLPT_1 JLPT,qVMnXwPQkx
内蔵,ないぞう,internal organ; built-in,JLPT_1 JLPT,L]Dm~E_?j[
ナイター,ナイター,"game under lights (e.g., baseball), night game",JLPT_1 JLPT,w71YMp^g^|
内部,ないぶ,"interior, inside, internal",JLPT_1 JLPT,Qc_^Hv.8K<
内乱,ないらん,"civil war, domestic conflict",JLPT_1 JLPT,"nyNNE_],O!"
内陸,ないりく,inland,JLPT_1 JLPT,G}P5V$Jk?4
苗,なえ,rice seedling,JLPT_1 JLPT,D`y6b-_J-}
なおさら,なおさら,"all the more, still less",JLPT_1 JLPT,D3]|seyAVE
流し,ながし,sink,JLPT_1 JLPT,sUm$!Jp0[}
長々,ながなが,"long, drawn-out, very long",JLPT_1 JLPT,OTwM?YMLfQ
中程,なかほど,"middle, midway",JLPT_1 JLPT,A)F$iP@]z@
渚,なぎさ,"water's edge, beach, shore",JLPT_1 JLPT,zd22=yfA9n
嘆く,なげく,"to sigh, to lament, to grieve",JLPT_1 JLPT,ilzJ;<!YjV
投げ出す,なげだす,"to abandon, to throw out",JLPT_1 JLPT,vl-:<#dR[!
仲人,なこうど,"go-between, matchmaker",JLPT_1 JLPT,kknZLw#*&s
和やか,なごやか,"mild, calm, harmonious",JLPT_1 JLPT,EbN._V9![%
名残,なごり,"remains, traces, memory",JLPT_1 JLPT,oz>_]^qFZM
情け,なさけ,"sympathy, compassion",JLPT_1 JLPT,D|r~;|9R]k
情無い,なさけない,"miserable, pitiable, shameful",JLPT_1 JLPT,N<_jdqMHiS
情深い,なさけぶかい,"tender-hearted, compassionate",JLPT_1 JLPT,P:u6w48-M4
詰る,なじる,"to rebuke, to scold, to tell off",JLPT_1 JLPT,m2ug%F|{:P
名高い,なだかい,"famous, celebrated, well-known",JLPT_1 JLPT,CAOqe%9eXa
雪崩,なだれ,avalanche,JLPT_1 JLPT,i|el8n-PMm
懐く,なつく,to become emotionally attached,JLPT_1 JLPT,g];Z(M#sXQ
名付ける,なづける,to name,JLPT_1 JLPT,NJQx_8`$@d
何気ない,なにげない,"casual, unconcerned",JLPT_1 JLPT,GCR5kv%JGq
なにとぞ,なにとぞ,"please, kindly, by all means",JLPT_1 JLPT,lQ*Q=lmCB7
なにより,なにより,"most, best",JLPT_1 JLPT,Ifj=x)`!7.
ナプキン,ナプキン,napkin,JLPT_1 JLPT,dY;w6ETO=:
名札,なふだ,"name plate, name tag",JLPT_1 JLPT,"H,LzU#iC|r"
生臭い,なまぐさい,"smelling of fish or blood, fish or meat",JLPT_1 JLPT,vDPDWlb?&h
生温い,なまぬるい,"lukewarm, halfhearted",JLPT_1 JLPT,G~a-u$_3U#
生身,なまみ,"living flesh, flesh and blood, the quick",JLPT_1 JLPT,mdk5@{-d$q
鉛,なまり,lead (the metal),JLPT_1 JLPT,clLq6d~d8L
滑らか,なめらか,"smoothness, glassiness",JLPT_1 JLPT,F~B/LW)1su
嘗める,なめる,to lick; to experience; to make fun of,JLPT_1 JLPT,"h&h,RaX>m("
悩ましい,なやましい,"seductive, melancholy, languid",JLPT_1 JLPT,vf@^4N2dLC
悩ます,なやます,"to bother, to harass, to molest",JLPT_1 JLPT,jR2E;(CfhM
悩み,なやみ,"trouble(s), worry, distress",JLPT_1 JLPT Genki_Ln.19 Genki,"rYH,[!J71-"
並びに,ならびに,and,JLPT_1 JLPT,Ny*4D`O(3Y
成り立つ,なりたつ,"to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true",JLPT_1 JLPT,m1{^Hc5[&f
なるたけ,なるたけ,"as much as possible, if possible",JLPT_1 JLPT,y(q.AD0L#F
慣れ,なれ,"practice, experience",JLPT_1 JLPT,j7[97Xg7/>
馴々しい,なれなれしい,"familiar, make free with",JLPT_1 JLPT,shT?wsHw[_
～なんか,～なんか,in the least ~,JLPT_1 JLPT,d.Q@D)R`y/
ナンセンス,ナンセンス,nonsense,JLPT_1 JLPT,moW2Xjtt^+
何だか,なんだか,"a little, somewhat, somehow",JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,hYSEqVkL.V
なんだかんだ,なんだかんだ,something or other,JLPT_1 JLPT,Hjnd-`9LXB
なんなり,なんなり,"anything, whatever",JLPT_1 JLPT,w_?<3$dc`X
荷,に,"load, baggage, cargo",JLPT_1 JLPT,yqk%}[]JXT
似通う,にかよう,to resemble closely,JLPT_1 JLPT,Dm9*/_j8S;
にきび,にきび,"pimple, acne",JLPT_1 JLPT,e&g:V:ku_]
賑わう,にぎわう,"to prosper, to flourish, to be crowded with people",JLPT_1 JLPT,g#ovh${-3n
憎しみ,にくしみ,hatred,JLPT_1 JLPT,QPkVwq]vjj
肉親,にくしん,"blood relationship, blood relative",JLPT_1 JLPT,uWXLxRMJ+O
肉体,にくたい,"the body, the flesh",JLPT_1 JLPT,gnN00<v<{9
逃げ出す,にげだす,"to run away, to escape from",JLPT_1 JLPT,fl)eIr9*lI
西日,にしび,westering sun,JLPT_1 JLPT,K3I7nq2l;L
滲む,にじむ,"to run, to blur, to spread",JLPT_1 JLPT,o9up<Sz=ve
にせ物,にせもの,"imitation, counterfeit",JLPT_1 JLPT,A=&EK6O#1I
日夜,にちや,"day and night, always",JLPT_1 JLPT,i%dEbeqYtB
荷造り,にづくり,"packing, baling, crating",JLPT_1 JLPT,qOwG&WZKL2
担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun)",JLPT_1 JLPT,F#SgKxy?S*
鈍る,にぶる,"to become less capable, to grow dull, to become blunt, to weaken",JLPT_1 JLPT,L.(Z=bmrwj
にも関わらず,にもかかわらず,"in spite of, nevertheless",JLPT_1 JLPT,KlWPE-D`h0
ニュアンス,ニュアンス,nuance,JLPT_1 JLPT,LUTAFMalyV
ニュー,ニュー,new,JLPT_1 JLPT,"Gfvoid,rAZ"
入手,にゅうしゅ,"obtaining, coming to hand",JLPT_1 JLPT,KYs]w;nq{f
入賞,にゅうしょう,winning a prize or place (in a contest,JLPT_1 JLPT,"QQ,s.4v3{f"
入浴,にゅうよく,"bathe, bathing",JLPT_1 JLPT,K$j=e4Tdlp
尿,にょう,urine,JLPT_1 JLPT,jT5|c!zG9i
認識,にんしき,"recognition, cognizance",JLPT_1 JLPT,"sX|,Qiq}<w"
妊娠,にんしん,"conception, pregnancy",JLPT_1 JLPT,j|`SG%:20Y
任務,にんむ,"duty, mission, task",JLPT_1 JLPT,h6lc;]{2nu
任命,にんめい,"appointment, nomination, ordination",JLPT_1 JLPT,En]Zo|mh[y
抜かす,ぬかす,"to omit, to leave out",JLPT_1 JLPT,B_-9.@R#h`
抜け出す,ぬけだす,"to slip out, to sneak away, to excel",JLPT_1 JLPT,pLSh/TV^OR
主,ぬし,"owner, master, god",JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,f$iPQS#{]6
沼,ぬま,"swamp, bog, pond",JLPT_1 JLPT,q-TqHFf#eJ
音色,ねいろ,"tone color, timbre",JLPT_1 JLPT,C=~bfd:qmo
値打ち,ねうち,"value, worth, price",JLPT_1 JLPT,s_}27&HmzM
ネガ,ネガ,(photographic) negative,JLPT_1 JLPT,tRtoeF@*NA
寝かせる,ねかせる,"to put to bed, to lay down, to ferment",JLPT_1 JLPT,i8aC;^zTA&
ねじまわし,ねじまわし,screwdriver,JLPT_1 JLPT,lC3$+z.Dp9
捩れる,ねじれる,"twist, strain",JLPT_1 JLPT,Shp4gNU#M
妬む,ねたむ,"to be jealous, to be envious",JLPT_1 JLPT,LkwOsP2luZ
ねだる,ねだる,"to nag, to demand",JLPT_1 JLPT,bqJI({hGlV
熱意,ねつい,"zeal, enthusiasm",JLPT_1 JLPT,rd11dz%oP<
熱湯,ねっとう,boiling water,JLPT_1 JLPT,yBQ@*k[rMd
熱量,ねつりょう,calorific value,JLPT_1 JLPT,yVC<gDS.Nb
粘り,ねばり,"stickiness, viscosity",JLPT_1 JLPT,BvIS%RjDgh
粘る,ねばる,"to be sticky, to be adhesive, to persist, to stick to",JLPT_1 JLPT,q5idXyJ?~3
値引き,ねびき,"price reduction, discount",JLPT_1 JLPT,ppHz}aRok7
根回し,ねまわし,making necessary arrangements,JLPT_1 JLPT,k|jB&4ScOn
眠たい,ねむたい,sleepy,JLPT_1 JLPT,A:U[i:g3Mu
練る,ねる,"to knead, to work over, to polish up",JLPT_1 JLPT,OcA{._U(He
念,ねん,"sense, feeling, desire",JLPT_1 JLPT,uVWX2{yDLk
年賀,ねんが,"New Year's greetings, New Year's card",JLPT_1 JLPT,P$?kkzx-4;
念願,ねんがん,"one's heart's desire, earnest petition",JLPT_1 JLPT,N2]ye^.%%-
年号,ねんごう,"name of an era, year number",JLPT_1 JLPT,bLo0`T)GZr
燃焼,ねんしょう,"burning, combustion",JLPT_1 JLPT,zKpI9!^gxJ
年長,ねんちょう,seniority,JLPT_1 JLPT,L5;%C?!rKM
燃料,ねんりょう,fuel,JLPT_1 JLPT,rltcX_fvi[
年輪,ねんりん,annual tree ring,JLPT_1 JLPT,b+fwXle>0o
ノイローゼ,ノイローゼ,neurosis (GER: Neurose),JLPT_1 JLPT,"J+@dVGG,?/"
農耕,のうこう,"farming, agriculture",JLPT_1 JLPT,s|V;EQ<DFG
農場,のうじょう,farm,JLPT_1 JLPT,f{r<5W&Bpu
農地,のうち,agricultural land,JLPT_1 JLPT,gFlV*(m#WE
納入,のうにゅう,"payment, supply",JLPT_1 JLPT,K9YdM1s/F>
逃す,のがす,"to let loose, to set free, to let escape",JLPT_1 JLPT,cfjj1lW1R
逃れる,のがれる,to escape,JLPT_1 JLPT,ur0/yS?G.F
軒並,のきなみ,row of houses; uniformly,JLPT_1 JLPT,gYh0C^=J<1
望ましい,のぞましい,"desirable, hoped for",JLPT_1 JLPT,O~bUfdZRZc
乗っ取る,のっとる,"to capture, to occupy, to take over",JLPT_1 JLPT,D>275*`Xs9
のどか,のどか,"tranquil, calm, quiet",JLPT_1 JLPT,IT.<Z@]SZ.
罵る,ののしる,"to speak ill of, to abuse",JLPT_1 JLPT,o]7]HcCGpH
延べ,のべ,"futures, credit (buying), stretching, total",JLPT_1 JLPT,Eb3R}G~vq&
飲み込む,のみこむ,"to gulp down, to swallow deeply, to understand",JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,fwLCsj3c:^
乗り込む,のりこむ,"to board, to get into (a car); to march into, to enter",JLPT_1 JLPT,"P^t~AIQ,:b"
刃,は,"blade, sword",JLPT_1 JLPT,s8NuMFbIpb
～派,～は,"group, party, section (mil)",JLPT_1 JLPT,qMeKLND8O$
バー,バー,bar,JLPT_1 JLPT,xD;./&*C~}
把握,はあく,"grasp, catch, understanding",JLPT_1 JLPT,DFve{Ag1B(
パート,パート,part-time job,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,OK)Lf1Yk5g
廃棄,はいき,"disposal, abandon, discarding",JLPT_1 JLPT,"t,]x!4!SsB"
配給,はいきゅう,"distribution (e.g., films, rice",JLPT_1 JLPT,BIJAh&96+q
ばい菌,ばいきん,"bacteria, germ(s)",JLPT_1 JLPT,F@%B4+?fE|
配偶者,はいぐうしゃ,spouse,JLPT_1 JLPT,j5as3|4RM2
拝啓,はいけい,-- a formal greeting used at the beginning of a letter --,Intermediate_Japanese_Ln.4 JLPT_1 JLPT Intermediate_Japanese,+.sAx2wLV
背景,はいけい,"background, scenery, setting",JLPT_1 JLPT,B;EWwcKw8a
背後,はいご,"back, rear",JLPT_1 JLPT,"l$UvE^.,2i"
廃止,はいし,"abolition, repeal",JLPT_1 JLPT,"D{,71BeMS8"
拝借,はいしゃく,(humble) (polite) borrowing,JLPT_1 JLPT,"w!,O.|Pr}V"
排除,はいじょ,"exclusion, removal, rejection",JLPT_1 JLPT,"e(cIaHsE,F"
賠償,ばいしょう,"reparations, indemnity, compensation",JLPT_1 JLPT,i0;;9:0(Yb
排水,はいすい,drainage,JLPT_1 JLPT,CI{]`I5(&E
敗戦,はいせん,"defeat, losing a war",JLPT_1 JLPT,JSMF6y%Lj~
配置,はいち,"arrangement (of resources), disposition",JLPT_1 JLPT,wZ<r/Id^hw
配布,はいふ,distribution,JLPT_1 JLPT,j3UYv2B1e{
配分,はいぶん,"distribution, allotment",JLPT_1 JLPT,sPEejO/d9<
敗北,はいぼく,defeat (as a verb it means 'to be defeated'),JLPT_1 JLPT,=90:_^P$k
倍率,ばいりつ,"diameter, magnification",JLPT_1 JLPT,h`ahPtUY;b
配慮,はいりょ,"consideration, concern, forethought",JLPT_1 JLPT,poW=.ChJSm
配列,はいれつ,"arrangement, array (programming)",JLPT_1 JLPT,cC<!?;J:<g
破壊,はかい,destruction,JLPT_1 JLPT,v!Zp^6YAqE
いたわる,いたわる,"to sympathize with, to console, to care for",JLPT_1 JLPT,wcGai|q>xT
一概に,いちがいに,"unconditionally, necessarily",JLPT_1 JLPT,hLV>poM3Dq
著しい,いちじるしい,"remarkable, considerable",JLPT_1 JLPT,"kPPz=m,gRR"
一同,いちどう,"all present, all concerned, all of us",JLPT_1 JLPT,O|v*CB_J$V
一部分,いちぶぶん,"a part, a portion",JLPT_1 JLPT,kC:AyoQ(VZ
一別,いちべつ,parting,JLPT_1 JLPT,P}9Ns5lV8E
一面,いちめん,"one side, the other hand",JLPT_1 JLPT,Nx0OsZUH*E
一目,いちもく,"a glance, a look, a glimpse",JLPT_1 JLPT,saAg*cc00y
一様,いちよう,"uniform, similar, equal",JLPT_1 JLPT,4Npj$}s^v
一律,いちりつ,"even, uniform, equal",JLPT_1 JLPT,s7Bp#3`c^s
一連,いちれん,"a series, a chain, a ream (of paper)",JLPT_1 JLPT,"K`?fU[;],#"
一括,いっかつ,"all together, batch",JLPT_1 JLPT,hhovzuJKNB
一気,いっき,"at one push, in one gulp",JLPT_1 JLPT,CgBD$%2<51
一挙に,いっきょに,"at a stroke, with a single swoop",JLPT_1 JLPT,F:IKX%#S}~
一見,いっけん,"a look, a glimpse, glance; first meeting",JLPT_1 JLPT,NZ6>sHobC*
一切,いっさい,"without exception, the whole",JLPT_1 JLPT,v}WLTgJ@1I
一心,いっしん,"one mind, with rapt attention",JLPT_1 JLPT,cClq^_-/LZ
いっそ,いっそ,"rather, sooner, might as well",JLPT_1 JLPT,Ii]&B%6J^H
一変,いっぺん,complete change,JLPT_1 JLPT,ek#.`h}8]>
意図,いと,"intention, aim, design",JLPT_1 JLPT,"Nv%*-6B!(,"
営む,いとなむ,"to carry on (e.g., in ceremony), to run a business",JLPT_1 JLPT,DwKEu03*|H
挑む,いどむ,to challenge,JLPT_1 JLPT,c_-t#iEGZZ
稲光,いなびかり,(flash of) lightning,JLPT_1 JLPT,c#^JVd1}UB
祈り,いのり,"prayer, supplication",JLPT_1 JLPT,Ma]tANx6d6
いびき,いびき,snoring,JLPT_1 JLPT,C/{&bugX+}
今更,いまさら,"now, again",JLPT_1 JLPT,hj*29Ug#1R
未だ,いまだ,"yet, still",JLPT_1 JLPT,p:dli@Jl!z
移民,いみん,"emigrant, immigrant",JLPT_1 JLPT,CLJ[Ns`Z6Z
嫌々,いやいや,"reluctantly, by no means, unwillingly",JLPT_1 JLPT,QjHKtey?XJ
卑しい,いやしい,"greedy, vulgar, shabby",JLPT_1 JLPT,vBh9gD/$!+
いやに,いやに,"awfully, terribly",JLPT_1 JLPT,qpdLL_V*P#
いやらしい,いやらしい,"unpleasant, disgusting, indecent",JLPT_1 JLPT,D<T6@Y-YD4
意欲,いよく,"will, desire, ambition",JLPT_1 JLPT,Fq(`u%{Obm
威力,いりょく,"power, might, authority",JLPT_1 JLPT,r5er8dT<)9
衣類,いるい,"clothes, clothing, garments",JLPT_1 JLPT,QbNSCWqQ4!
異論,いろん,"different opinion, objection",JLPT_1 JLPT,A?E^7mu[K@
印鑑,いんかん,"stamp, seal",JLPT_1 JLPT,cTR~#z|<0M
陰気,いんき,"gloom, melancholy",JLPT_1 JLPT,A-+&-Fy%1r
隠居,いんきょ,retirement; retired person,JLPT_1 JLPT,b^vje[Ox#X
インターチェンジ,インターチェンジ,interchange,JLPT_1 JLPT,"rBKXdv$/G,"
インターナショナル,インターナショナル,international,JLPT_1 JLPT,JmV&U~p0X$
インターフォン,インターフォン,"entry phone, intercom",JLPT_1 JLPT,AO3rDw-;8U
インテリ,インテリ,"(abbr.) egghead, intelligentsia",JLPT_1 JLPT,piGc%@]7]l
インフォメーション,インフォメーション,information,JLPT_1 JLPT,KO4Fli5w!*
インフレ,インフレ,(abbr.) inflation,JLPT_1 JLPT,QC}1+m@@J*
受かる,うかる,to pass (examination),JLPT_1 JLPT,gIq*pkmfp{
受け入れ,うけいれ,"receiving, acceptance",JLPT_1 JLPT,j&5piEC:H:
受け入れる,うけいれる,"to accept, to receive",JLPT_1 JLPT,i_JCrJB_9E
受け継ぐ,うけつぐ,"to inherit, to succeed",JLPT_1 JLPT,x6H#Y*OpNS
受け付ける,うけつける,"to be accepted, to receive (an application)",JLPT_1 JLPT,wJiQ/5Nn/x
受け止める,うけとめる,"to catch, to react to, to take",JLPT_1 JLPT,kQB/rB@6#x
受身,うけみ,"passive, passive voice",JLPT_1 JLPT,AB05ev+c>K
受持ち,うけもち,"charge (of something), matter in one's charge",JLPT_1 JLPT,"DiB3?u$z,A"
動き,うごき,"movement, activity, trend",JLPT_1 JLPT,u]mcX[(LyK
埋める,うずめる,"to bury, to fill",JLPT_1 JLPT,s1}PR|XGjV
嘘つき,うそつき,liar,JLPT_1 JLPT,huy&f$4B!!
うたた寝,うたたね,"dozing, napping",JLPT_1 JLPT,g>}T9.Ly4K
打ち明ける,うちあける,"to confess, to be open",JLPT_1 JLPT,m>OKlxKk@!
打ち切る,うちきる,"to stop, to abort, to discontinue, to close",JLPT_1 JLPT,NY3MFaZc*o
打ち消し,うちけし,"(gram) negation, denial, negative",JLPT_1 JLPT,FFlOc.L!8+
打ち込む,うちこむ,"to devote oneself to, to shoot into",JLPT_1 JLPT,"iV,JA!*tZ)"
団扇,うちわ,fan,JLPT_1 JLPT,AXix@CPuvn
内訳,うちわけ,"the items, breakdown, classification",JLPT_1 JLPT,"kc.tS5mj},"
写し,うつし,"copy, duplicate",JLPT_1 JLPT,o]mr>S?=4H
訴え,うったえ,"lawsuit, complaint",JLPT_1 JLPT,L0%2@MBXxQ
うっとうしい,うっとうしい,"weary, annoying",JLPT_1 JLPT,D_nkEIxjCi
うつむく,うつむく,"to look downward, to stoop",JLPT_1 JLPT,vZ9f:pDf9{
空ろ,うつろ,"blank, hollow, empty",JLPT_1 JLPT,gT)UMo=-nJ
器,うつわ,"bowl, vessel, container",JLPT_1 JLPT,wCFSLHrDCy
腕前,うでまえ,"ability, skill, facility",JLPT_1 JLPT,M#fh/cwlNl
雨天,うてん,rainy weather,JLPT_1 JLPT,w*!:re!1<+
促す,うながす,"to urge, to suggest, to demand",JLPT_1 JLPT,wV^GWyWg_j
うぬぼれ,うぬぼれ,"pretension, conceit, hubris",JLPT_1 JLPT,m]YR4b{=@z
生まれつき,うまれつき,"by nature, by birth, native",JLPT_1 JLPT,vf1rqkwzEV
埋め込む,うめこむ,"to embed, implant",JLPT_1 JLPT,xua#+HlIBN
梅干し,うめぼし,dried plum,JLPT_1 JLPT,y[D$6jL9AV
裏返し,うらがえし,"inside out, reverse",JLPT_1 JLPT,x!`i3g6fj/
売り出し,うりだし,(bargain) sale,JLPT_1 JLPT,e#9|l1/ymz
売り出す,うりだす,"to put on sale, to market",JLPT_1 JLPT,gIddcx*`Ct
潤う,うるおう,to be moist; to profit by,JLPT_1 JLPT,iEM[52wf::
